job_id,role_category,seniority,city,country_code,source_name,salary_min,salary_max,salary_currency,salary_period,salary_type,salary_midpoint,job_title
11589,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Business Development Officer Job in Pakistan
11590,other,mid,Faisalabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Sales Promotion Officers Job in Pakistan
11591,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Flutter Developer Job in Pakistan
11592,other,mid,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Institutional Sales Manager Job in Pakistan
11593,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Electron Developer Job in Pakistan
11594,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Front Desk Officer / Receptionist Jobs in Pakistan
11595,other,mid,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Assistant Accountant Job in Pakistan
11596,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Outdoor Marketing Executive Job in Pakistan
11597,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Mid Level Software Developer Job in Pakistan
11598,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time PHP Developer Job in Pakistan
11599,other,junior,Sialkot,PK,chisel_pk,,,PKR,monthly,,,Full Time Email Marketing Expert Jobs in Pakistan
11600,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time UI Designer + UX Analyst Jobs in Pakistan
11601,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Unity 3D Developer / Modeler 3D Jobs in Pakistan
11602,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Ebay & Amazon Listing & Customer Dealing Jobs in Pakistan
11603,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Web Developer / Wordpress Developer Job in Pakistan
11604,other,mid,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Web Developer Job in Pakistan
11605,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Call Center Executive Job in Pakistan
11606,other,junior,Karachi,PK,chisel_pk,,,PKR,monthly,,,Full Time Call Center Reps Jobs in Pakistan
11607,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Marketing Executive & Sr. Marketing Executive Job in Pakistan
11608,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Computer Vision Programmer Job in Pakistan
11609,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Social Media Marketing Executive Job in Pakistan
11610,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Business Development Executive (Sales Department) Jobs in Pakistan
11611,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Admissions Officer / Office Coordinator Jobs in Pakistan
11612,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Microsoft Office Expert - Work From Home Job in Pakistan
11613,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior Laravel Developer Jobs in Pakistan
